date,pitcher_name,team,milestone,odds,event_id,event_name,start_time_utc
2026-08-04,Ryan Weathers,NYY,7,+181,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Ryan Weathers,NYY,8,+370,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Ryan Weathers,NYY,9,+760,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Ryan Weathers,NYY,10,+1540,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,2,-1920,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,3,-470,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,4,-173,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,5,+134,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,6,+288,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,7,+620,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Hunter Dobbins,STL,8,+1300,34475011,STL Cardinals @ NY Yankees,2026-08-04T23:05:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,3,-2600,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,4,-710,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,5,-282,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,6,-126,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,7,+166,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,8,+346,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,9,+700,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Patrick Sandoval,BOS,10,+1420,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,2,-2900,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,3,-610,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,4,-220,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,5,+107,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,6,+235,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,7,+518,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Davis Martin,CWS,8,+1120,34475012,CHI White Sox @ BOS Red Sox,2026-08-04T23:10:00.0000000Z
2026-08-04,Grant Holmes,ATL,3,-760,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Grant Holmes,ATL,4,-267,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Grant Holmes,ATL,5,-110,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Grant Holmes,ATL,6,+202,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Grant Holmes,ATL,7,+433,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Grant Holmes,ATL,8,+930,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,2,-950,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,3,-292,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,4,-117,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,5,+190,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,6,+412,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Ryan Gusto,MIA,7,+880,34475013,MIA Marlins @ ATL Braves,2026-08-04T23:15:00.0000000Z
2026-08-04,Logan Henderson,MIL,4,-1320,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,5,-475,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,6,-212,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,7,-104,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,8,+195,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,9,+384,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,10,+770,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Logan Henderson,MIL,11,+1420,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,3,-2400,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,4,-660,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,5,-265,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,6,-121,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,7,+176,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,8,+348,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,9,+720,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Jared Jones,PIT,10,+1440,34475015,PIT Pirates @ MIL Brewers,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,3,-2600,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,4,-700,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,5,-277,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,6,-127,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,7,+161,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,8,+329,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,9,+680,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Joe Ryan,MIN,10,+1380,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,1,-3000,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,2,-420,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,3,-130,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,4,+197,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,5,+494,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Randy Dobnak,KC,6,+1180,34475014,MIN Twins @ KC Royals,2026-08-04T23:40:00.0000000Z
2026-08-04,Tarik Skubal,LAD,4,-1540,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,5,-620,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,6,-294,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,7,-157,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,8,+113,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,9,+199,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,10,+348,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,11,+610,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,12,+1040,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Tarik Skubal,LAD,13,+1760,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,2,-790,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,3,-242,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,4,+104,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,5,+241,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,6,+563,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,Javier Assad,CHC,7,+1260,34475018,LA Dodgers @ CHI Cubs,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,4,-1660,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,5,-582,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,6,-248,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,7,-121,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,8,+161,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,9,+317,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,10,+630,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,MacKenzie Gore,TEX,11,+1220,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,2,-1920,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,3,-491,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,4,-184,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,5,+124,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,6,+269,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,7,+586,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Blade Tidwell,SF,8,+1240,34475019,SF Giants @ TEX Rangers,2026-08-05T00:05:00.0000000Z
2026-08-04,Trey Yesavage,TOR,3,-1460,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,4,-503,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,5,-214,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,6,-102,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,7,+194,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,8,+385,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,9,+750,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Trey Yesavage,TOR,10,+1420,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,2,-1760,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,3,-430,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,4,-160,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,5,+145,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,6,+318,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,7,+710,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Hayden Wesneski,HOU,8,+1520,34475020,TOR Blue Jays @ HOU Astros,2026-08-05T00:10:00.0000000Z
2026-08-04,Freddy Peralta,TB,3,-1300,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,4,-459,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,5,-193,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,6,+111,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,7,+238,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,8,+493,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Freddy Peralta,TB,9,+1040,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,2,-720,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,3,-222,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,4,+117,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,5,+276,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,6,+640,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Gabriel Hughes,COL,7,+1480,34475024,TB Rays @ COL Rockies,2026-08-05T00:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,2,-1600,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,3,-431,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,4,-166,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
2026-08-04,Eduardo Rodriguez,ARI,5,+134,34475025,SD Padres @ ARI Diamondbacks,2026-08-05T01:40:00.0000000Z
