captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Moneyline,DET Tigers,,+113
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Moneyline,CLE Guardians,,-136
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Run Line,DET Tigers,1.5,-181
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Run Line,CLE Guardians,-1.5,+149
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Total,Over,8,-119
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616131,DET Tigers @ CLE Guardians,2026-09-04T18:10:00.0000000Z,CLE,DET,Total,Under,8,-102
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Moneyline,MIL Brewers,,-164
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Moneyline,CIN Reds,,+136
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Run Line,MIL Brewers,-1.5,-102
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Run Line,CIN Reds,1.5,-119
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Total,Over,9.5,-112
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616141,MIL Brewers @ CIN Reds,2026-09-04T22:10:00.0000000Z,CIN,MIL,Total,Under,9.5,-108
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Moneyline,ATL Braves,,-102
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Moneyline,PHI Phillies,,-118
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Run Line,ATL Braves,-1.5,+172
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Run Line,PHI Phillies,1.5,-211
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Total,Over,6.5,-122
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616142,ATL Braves @ PHI Phillies,2026-09-04T22:40:00.0000000Z,PHI,ATL,Total,Under,6.5,+102
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616143,LA Angels @ PIT Pirates,2026-09-04T22:45:00.0000000Z,PIT,LAA,Moneyline,LA Angels,,+163
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616143,LA Angels @ PIT Pirates,2026-09-04T22:45:00.0000000Z,PIT,LAA,Moneyline,PIT Pirates,,-199
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616143,LA Angels @ PIT Pirates,2026-09-04T22:45:00.0000000Z,PIT,LAA,Run Line,LA Angels,1.5,-132
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616143,LA Angels @ PIT Pirates,2026-09-04T22:45:00.0000000Z,PIT,LAA,Run Line,PIT Pirates,-1.5,+109
2026-09-04T13:01:50.715840+00:00,2026-09-04,34616143,LA Angels @ PIT Pirates,2026-09-04T22:45:00.0000000Z,PIT,LAA,Total,Over,8.5,-102
