captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-08-29T13:01:20.167725+00:00,2026-08-29,Carlos Rodon,5.5,+110,-140,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Jake Bennett,4.5,-112,-113,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Blake Snell,6.5,-143,+112,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Keider Montero,3.5,+107,-136,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Bailey Ober,4.5,+122,-156,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Erick Fedde,2.5,-118,-108,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Kyle Leahy,3.5,-158,+124,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Kevin Gausman,6.5,+115,-146,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Andrew Abbott,3.5,-147,+115,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Jose Soriano,5.5,+105,-134,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Kade Anderson,4.5,-113,-113,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Merrill Kelly,4.5,+106,-135,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Cade Cavalli,6.5,+100,-128,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Sandy Alcantara,4.5,+118,-150,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Martin Perez,4.5,+121,-154,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Ryan Feltner,3.5,-142,+112,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Foster Griffin,5.5,-110,-116,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Daniel Lynch,2.5,-114,-111,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Nolan McLean,5.5,-136,+107,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Nick Martinez,3.5,-116,-110,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Walker Buehler,3.5,+109,-139,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Shane Drohan,5.5,-107,-119,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Cal Quantrill,4.5,+130,-167,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Jack Perkins,5.5,-137,+108,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Shane Baz,5.5,+122,-156,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Cristopher Sanchez,7.5,-143,+112,live
2026-08-29T13:01:20.167725+00:00,2026-08-29,Ryan Johnson (LAA),3.5,-112,-114,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Carlos Rodon,5.5,+126,-161,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Jake Bennett,4.5,-125,-102,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Blake Snell,6.5,-126,-101,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Keider Montero,3.5,-101,-126,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Bailey Ober,4.5,+118,-151,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Erick Fedde,2.5,-121,-105,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Kyle Leahy,3.5,-151,+118,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Kevin Gausman,6.5,+121,-154,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Andrew Abbott,3.5,-128,+101,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Jose Soriano,5.5,+111,-141,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Kade Anderson,4.5,-102,-125,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Merrill Kelly,3.5,-171,+133,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Matt Wilkinson,2.5,-180,+140,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Cade Cavalli,6.5,+108,-137,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Sandy Alcantara,4.5,+112,-143,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Martin Perez,4.5,+109,-139,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Ryan Feltner,3.5,-135,+106,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Foster Griffin,5.5,-107,-119,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Daniel Lynch,2.5,-112,-114,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Nolan McLean,5.5,-130,+102,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Nick Martinez,3.5,+125,-159,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Walker Buehler,3.5,+130,-167,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Shane Drohan,5.5,+103,-131,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Cal Quantrill,3.5,-141,+111,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Jack Perkins,5.5,-122,-105,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Shane Baz,5.5,+121,-155,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Cristopher Sanchez,7.5,-113,-113,live
2026-08-29T16:51:50.018396+00:00,2026-08-29,Ryan Johnson (LAA),3.5,-111,-114,live
