captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Moneyline,COL Rockies,,+112
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Moneyline,WAS Nationals,,-120
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Run Line,COL Rockies,1.5,-193
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Run Line,WAS Nationals,-1.5,+158
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Total,Over,9.5,-108
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576458,COL Rockies @ WAS Nationals,2026-08-27T17:05:00.0000000Z,WSH,COL,Total,Under,9.5,-112
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Moneyline,BAL Orioles,,-119
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Moneyline,STL Cardinals,,+111
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Run Line,BAL Orioles,-1.5,+135
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Run Line,STL Cardinals,1.5,-163
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Total,Over,8,-110
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576466,BAL Orioles @ STL Cardinals,2026-08-27T18:15:00.0000000Z,STL,BAL,Total,Under,8,-110
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576467,HOU Astros @ NY Yankees,2026-08-27T23:05:00.0000000Z,NYY,HOU,Moneyline,HOU Astros,,+147
2026-08-27T13:01:16.683170+00:00,2026-08-27,34576467,HOU Astros @ NY Yankees,2026-08-27T23:05:00.0000000Z,NYY,HOU,Moneyline,NY Yankees,,-158
