captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Moneyline,MIN Twins,,+107
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Moneyline,DET Tigers,,-128
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Run Line,MIN Twins,1.5,-205
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Run Line,DET Tigers,-1.5,+168
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Total,Over,8.5,-115
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639826,MIN Twins @ DET Tigers,2026-09-09T17:10:00.0000000Z,DET,MIN,Total,Under,8.5,-105
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Moneyline,TOR Blue Jays,,-186
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Moneyline,Athletics,,+153
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Run Line,TOR Blue Jays,-1.5,-111
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Run Line,Athletics,1.5,-109
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Total,Over,9,-120
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639827,TOR Blue Jays @ Athletics,2026-09-09T19:05:00.0000000Z,OAK,TOR,Total,Under,9,+100
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Moneyline,STL Cardinals,,-124
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Moneyline,SF Giants,,+103
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Run Line,STL Cardinals,-1.5,+137
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Run Line,SF Giants,1.5,-166
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Total,Over,8,-112
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639828,STL Cardinals @ SF Giants,2026-09-09T19:45:00.0000000Z,SF,STL,Total,Under,8,-108
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639832,WAS Nationals @ SD Padres,2026-09-09T20:10:00.0000000Z,SD,WSH,Moneyline,WAS Nationals,,+142
2026-09-09T13:01:44.115071+00:00,2026-09-09,34639832,WAS Nationals @ SD Padres,2026-09-09T20:10:00.0000000Z,SD,WSH,Moneyline,SD Padres,,-172
