captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-28T16:15:59.598122+00:00,2026-08-28,David Peterson,CHC,4.5,-154,+121,34581706,2026-08-28T18:20:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Rhett Lowder,CIN,3.5,-141,+111,34581706,2026-08-28T18:20:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Tarik Skubal,LAD,7.5,+117,-149,34581708,2026-08-28T22:40:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Drew Anderson,DET,4.5,-108,-119,34581708,2026-08-28T22:40:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Eury Perez,MIA,5.5,-112,-114,34581709,2026-08-28T22:45:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Jackson Kent,WSH,4.5,+132,-169,34581709,2026-08-28T22:45:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Tanner Bibee,CLE,4.5,-110,-115,34581710,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Michael Wacha,KC,3.5,-155,+121,34581710,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Christian Scott,NYM,5.5,-146,+114,34581713,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Hunter Brown,HOU,5.5,+119,-152,34581713,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Shane McClanahan,TB,4.5,+108,-138,34581714,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Casey Mize,SD,3.5,+114,-146,34581714,2026-08-28T23:10:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Grant Holmes,ATL,4.5,-127,+100,34581715,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Tomoyuki Sugano,COL,3.5,+119,-152,34581715,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Cam Schlittler,NYY,7.5,+123,-157,34581716,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Patrick Sandoval,BOS,5.5,+101,-129,34581716,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Dylan Cease,TOR,7.5,-145,+114,34581717,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Emerson Hancock,SEA,3.5,-137,+108,34581717,2026-08-28T23:15:00.0000000Z
2026-08-28T16:15:59.598122+00:00,2026-08-28,Logan Henderson,MIL,6.5,-104,-122,34581718,2026-08-28T23:40:00.0000000Z
