captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-09-07T13:01:26.854027+00:00,2026-09-07,Jesus Luzardo,6.5,-155,+121,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Grant Holmes,3.5,+107,-137,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Eury Perez,5.5,-133,+105,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Jonah Tong,4.5,-152,+119,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Joey Cantillo,5.5,-155,+121,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Trevor Rogers,5.5,+129,-165,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Grayson Rodriguez,4.5,-117,-109,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Brayan Bello,4.5,-102,-125,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Noah Cameron,3.5,-171,+134,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Robert Gasser,4.5,-102,-125,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Matthew Boyd,4.5,+111,-141,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Troy Melton,4.5,+126,-161,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Nick Pivetta,4.5,+101,-129,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Jake Irvin,4.5,+122,-156,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Logan Webb,5.5,+111,-142,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Michael McGreevy,3.5,+101,-129,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Chase Burns,4.5,+101,-129,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Dylan Cease,7.5,+102,-131,live
2026-09-07T13:01:26.854027+00:00,2026-09-07,Jacob Lopez,4.5,+112,-142,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Robert Gasser,4.5,+117,-149,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Matthew Boyd,4.5,+125,-160,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Noah Cameron,3.5,-149,+116,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Troy Melton,4.5,+108,-137,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Joe Ryan,3.5,-115,-111,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Nick Pivetta,4.5,-123,-104,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Jake Irvin,4.5,+124,-159,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Logan Webb,4.5,-158,+124,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Michael McGreevy,3.5,+110,-141,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Emmet Sheehan,6.5,+109,-140,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Chase Burns,4.5,-116,-110,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Dylan Cease,7.5,-103,-123,live
2026-09-07T17:43:18.806206+00:00,2026-09-07,Jacob Lopez,4.5,+108,-138,live
