captured_at,date,pitcher_name,team,milestone,odds,event_id,start_time_utc
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,3,-3200,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,4,-790,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,5,-304,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,6,-137,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,7,+152,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,8,+309,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,9,+630,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Paul Skenes,PIT,10,+1280,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,2,-3400,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,3,-750,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,4,-277,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,5,-118,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,6,+182,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,7,+378,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,8,+800,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Jackson Jobe,DET,9,+1640,34538398,2026-08-19T16:35:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,3,-950,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,4,-343,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,5,-151,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,6,+140,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,7,+290,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,8,+597,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Michael King,SD,9,+1220,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,2,-1440,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,3,-392,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,4,-155,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,5,+145,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,6,+316,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,7,+680,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Robert Stock,NYM,8,+1420,34538400,2026-08-19T17:10:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,3,-2100,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,4,-670,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,5,-276,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,6,-130,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,7,+158,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,8,+314,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,9,+600,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,Taj Bradley,MIN,10,+1180,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,2,-1680,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,3,-451,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,4,-174,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,5,+130,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,6,+278,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,7,+600,34538678,2026-08-19T17:40:00.0000000Z
2026-08-19T16:16:15.005670+00:00,2026-08-19,AJ Smith-Shawver,ATL,8,+1220,34538678,2026-08-19T17:40:00.0000000Z
