captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-09-12T13:42:28.890154+00:00,2026-09-12,Tanner Gordon,3.5,-148,+116,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Gerrit Cole,5.5,-111,-114,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Zac Thornton,4.5,+120,-154,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Paul Skenes,5.5,+111,-141,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Clay Holmes,4.5,+120,-153,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Kyle Bradish,3.5,-154,+120,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Michael King,4.5,-129,+101,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Cesar Perdomo,3.5,-141,+111,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Andrew Alvarez,5.5,+114,-145,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Walbert Urena,4.5,-118,-108,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Ranger Suarez,5.5,+120,-153,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Randy Dobnak,3.5,+113,-144,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Tyler Glasnow,7.5,+120,-153,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Tyler Phillips,3.5,-127,-101,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Connor Prielipp,4.5,+124,-158,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Ian Seymour,5.5,-122,-104,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Peter Lambert,4.5,+117,-150,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Brady Singer,4.5,+106,-135,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Tyler Mahle,4.5,-114,-112,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Brandon Pfaadt,4.5,+113,-145,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Kumar Rocker,3.5,-117,-108,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Bryan Woo,5.5,-108,-119,live
2026-09-12T13:42:28.890154+00:00,2026-09-12,Gage Jump,4.5,-153,+120,live
