captured_at,date,pitcher_name,team,milestone,odds,event_id,start_time_utc
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,2,-2600,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,3,-630,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,4,-236,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,5,-103,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,6,+209,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,7,+451,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Freddy Peralta,TB,8,+920,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,2,-1920,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,3,-467,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,4,-168,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,5,+140,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,6,+319,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,7,+700,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Troy Melton,DET,8,+1460,34570668,2026-08-26T17:10:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,2,-2100,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,3,-488,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,4,-185,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,5,+126,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,6,+285,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,7,+620,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Eduardo Rodriguez,ARI,8,+1280,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Matthew Boyd,CHC,2,-1300,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Matthew Boyd,CHC,3,-340,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Matthew Boyd,CHC,4,-131,34570669,2026-08-26T19:40:00.0000000Z
2026-08-26T16:15:58.700941+00:00,2026-08-26,Matthew Boyd,CHC,5,+176,34570669,2026-08-26T19:40:00.0000000Z
