captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-09-15T16:16:11.967299+00:00,2026-09-15,Yoshinobu Yamamoto,LAD,7.5,-110,-116,34669943,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Rhett Lowder,CIN,3.5,-129,+102,34669943,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Foster Griffin,CLE,4.5,-171,+133,34669947,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Jacob Misiorowski,MIL,8.5,+115,-147,34669948,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Lake Bachar,PIT,2.5,+140,-180,34669948,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Griffin Jax,TB,5.5,+109,-140,34669949,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Jack Perkins,OAK,4.5,+124,-159,34669949,2026-09-15T22:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Cristopher Sanchez,PHI,6.5,-118,-108,34669950,2026-09-15T22:45:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Jackson Kent,WSH,3.5,-121,-106,34669950,2026-09-15T22:45:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Drew Anderson,DET,3.5,-145,+114,34669951,2026-09-15T23:07:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Sean Manaea,NYM,6.5,+120,-154,34669952,2026-09-15T23:10:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Shane Baz,BAL,4.5,-145,+113,34669952,2026-09-15T23:10:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Kevin Gausman,CHC,5.5,-112,-114,34669953,2026-09-15T23:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Martin Perez,ATL,3.5,+115,-147,34669953,2026-09-15T23:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Max Fried,NYY,4.5,-142,+111,34669954,2026-09-15T23:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Bailey Ober,MIN,4.5,+121,-155,34669954,2026-09-15T23:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Blade Tidwell,SF,3.5,-137,+107,34669955,2026-09-15T23:45:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Andre Pallante,STL,3.5,-109,-117,34669955,2026-09-15T23:45:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Patrick Sandoval,BOS,5.5,+118,-151,34669956,2026-09-16T00:05:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Hunter Brown,HOU,5.5,-115,-110,34669957,2026-09-16T00:10:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Michael Wacha,KC,4.5,-131,+103,34669957,2026-09-16T00:10:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Walker Buehler,SD,3.5,+102,-130,34669958,2026-09-16T00:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Kyle Freeland,COL,2.5,-115,-111,34669958,2026-09-16T00:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Logan Gilbert,SEA,6.5,-136,+107,34669959,2026-09-16T01:38:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Ryan Johnson (LAA),LAA,4.5,+131,-167,34669959,2026-09-16T01:38:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Michael Soroka,ARI,4.5,+115,-146,34669960,2026-09-16T01:40:00.0000000Z
2026-09-15T16:16:11.967299+00:00,2026-09-15,Janson Junk,MIA,2.5,-120,-106,34669960,2026-09-16T01:40:00.0000000Z
