captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Moneyline,LA Dodgers,,-241
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Moneyline,CIN Reds,,+195
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Run Line,LA Dodgers,-1.5,-143
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Run Line,CIN Reds,1.5,+118
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Total,Over,8.5,-111
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669943,LA Dodgers @ CIN Reds,2026-09-15T22:40:00.0000000Z,CIN,LAD,Total,Under,8.5,-109
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Moneyline,CHI White Sox,,+113
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Moneyline,CLE Guardians,,-136
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Run Line,CHI White Sox,1.5,-188
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Run Line,CLE Guardians,-1.5,+154
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Total,Over,8.5,-111
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669947,CHI White Sox @ CLE Guardians,2026-09-15T22:40:00.0000000Z,CLE,CWS,Total,Under,8.5,-108
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669948,MIL Brewers @ PIT Pirates,2026-09-15T22:40:00.0000000Z,PIT,MIL,Moneyline,MIL Brewers,,-261
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669948,MIL Brewers @ PIT Pirates,2026-09-15T22:40:00.0000000Z,PIT,MIL,Moneyline,PIT Pirates,,+210
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669948,MIL Brewers @ PIT Pirates,2026-09-15T22:40:00.0000000Z,PIT,MIL,Run Line,MIL Brewers,-1.5,-143
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669948,MIL Brewers @ PIT Pirates,2026-09-15T22:40:00.0000000Z,PIT,MIL,Run Line,PIT Pirates,1.5,+119
2026-09-15T13:01:41.187415+00:00,2026-09-15,34669948,MIL Brewers @ PIT Pirates,2026-09-15T22:40:00.0000000Z,PIT,MIL,Total,Over,7.5,-110
