captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-08T15:26:46.180303+00:00,2026-08-08,Chris Sale,ATL,17.5,-198,+147,34491599,2026-08-08T19:05:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Gerrit Cole,NYY,17.5,-180,+135,34491599,2026-08-08T19:05:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Jake Bennett,BOS,17.5,-153,+115,34491600,2026-08-08T20:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Gage Jump,OAK,15.5,+107,-142,34491600,2026-08-08T20:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Sandy Alcantara,MIA,19.5,-128,-104,34491601,2026-08-08T20:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Walbert Urena,LAA,16.5,-127,-105,34491601,2026-08-08T20:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Aaron Nola,PHI,17.5,-122,-108,34491602,2026-08-08T22:05:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Max Scherzer,TOR,14.5,-138,+104,34491602,2026-08-08T22:05:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Bubba Chandler,PIT,15.5,+104,-138,34491603,2026-08-08T22:40:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Robert Stock,NYM,14.5,-109,-122,34491603,2026-08-08T22:40:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Chase Burns,CIN,17.5,-143,+108,34491604,2026-08-08T22:45:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Andrew Alvarez,WSH,14.5,-133,+100,34491604,2026-08-08T22:45:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Seth Lugo,KC,17.5,-102,-130,34491605,2026-08-08T23:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Clay Holmes,CHC,15.5,+112,-149,34491605,2026-08-08T23:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Taj Bradley,MIN,17.5,+104,-138,34491606,2026-08-08T23:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Robert Gasser,MIL,16.5,-111,-119,34491606,2026-08-08T23:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Gavin Williams,CLE,17.5,-123,-107,34491607,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Anthony Kay,CWS,15.5,-113,-117,34491607,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Kyle Freeland,COL,17.5,-135,+101,34491610,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Matthew Liberatore,STL,17.5,-123,-108,34491610,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Jacob deGrom,TEX,17.5,-132,+100,34491612,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Kyle Bradish,BAL,16.5,-138,+104,34491612,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Michael King,SD,17.5,-151,+114,34491608,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Peter Lambert,HOU,16.5,-134,+101,34491608,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Landen Roupp,SF,16.5,-121,-110,34491609,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Jackson Jobe,DET,13.5,-134,+101,34491609,2026-08-08T23:15:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Yoshinobu Yamamoto,LAD,18.5,+127,-169,34491613,2026-08-09T00:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Brandon Pfaadt,ARI,16.5,-132,+100,34491613,2026-08-09T00:10:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,George Kirby,SEA,18.5,+153,-205,34491614,2026-08-09T01:50:00.0000000Z
2026-08-08T15:26:46.180303+00:00,2026-08-08,Griffin Jax,TB,15.5,-105,-126,34491614,2026-08-09T01:50:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Bubba Chandler,PIT,15.5,+103,-137,34491603,2026-08-08T22:40:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Robert Stock,NYM,14.5,-105,-126,34491603,2026-08-08T22:40:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Chase Burns,CIN,17.5,-138,+104,34491604,2026-08-08T22:45:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Andrew Alvarez,WSH,14.5,-134,+101,34491604,2026-08-08T22:45:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Seth Lugo,KC,17.5,-119,-111,34491605,2026-08-08T23:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Clay Holmes,CHC,15.5,+112,-149,34491605,2026-08-08T23:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Taj Bradley,MIN,17.5,-101,-132,34491606,2026-08-08T23:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Robert Gasser,MIL,16.5,-108,-123,34491606,2026-08-08T23:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Gavin Williams,CLE,17.5,-135,+102,34491607,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Anthony Kay,CWS,15.5,-105,-126,34491607,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Matthew Liberatore,STL,17.5,-128,-104,34491610,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Kyle Freeland,COL,17.5,-118,-112,34491610,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Jacob deGrom,TEX,17.5,-132,+100,34491612,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Kyle Bradish,BAL,16.5,-137,+103,34491612,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Michael King,SD,17.5,-149,+112,34491608,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Peter Lambert,HOU,16.5,-129,-103,34491608,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Landen Roupp,SF,16.5,-126,-106,34491609,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Jackson Jobe,DET,13.5,-127,-105,34491609,2026-08-08T23:15:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Yoshinobu Yamamoto,LAD,18.5,+116,-154,34491613,2026-08-09T00:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Brandon Pfaadt,ARI,16.5,-132,+100,34491613,2026-08-09T00:10:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,George Kirby,SEA,18.5,+153,-205,34491614,2026-08-09T01:50:00.0000000Z
2026-08-08T22:15:46.674428+00:00,2026-08-08,Griffin Jax,TB,15.5,-105,-126,34491614,2026-08-09T01:50:00.0000000Z
