captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-09-02T16:16:27.511313+00:00,2026-09-02,Casey Mize,SD,15.5,+115,-152,34604086,2026-09-02T16:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Brandon Williamson,CIN,14.5,+107,-142,34604086,2026-09-02T16:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Grant Holmes,ATL,15.5,+115,-153,34604087,2026-09-02T17:05:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Cody Bradford,TEX,17.5,-135,+102,34604088,2026-09-02T18:35:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Jacob Lopez,OAK,16.5,-105,-126,34604088,2026-09-02T18:35:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Trevor Rogers,BAL,17.5,-132,-101,34604090,2026-09-02T19:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Tomoyuki Sugano,COL,15.5,+106,-141,34604090,2026-09-02T19:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Andrew Painter,PHI,15.5,+105,-140,34604091,2026-09-02T19:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Patrick Sandoval,BOS,16.5,+104,-138,34604092,2026-09-02T20:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Bryce Miller,SEA,15.5,-115,-116,34604092,2026-09-02T20:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Dylan Cease,TOR,17.5,-146,+110,34604093,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Joey Cantillo,CLE,15.5,+129,-171,34604093,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Landen Roupp,SF,15.5,+100,-133,34604094,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Bubba Chandler,PIT,15.5,+104,-138,34604094,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Justin Hagenman,NYM,13.5,-117,-114,34604095,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Griffin Jax,TB,11.5,-128,-103,34604095,2026-09-02T22:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Jacob Misiorowski,MIL,17.5,-131,-101,34604096,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,David Peterson,CHC,15.5,-103,-129,34604096,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Noah Cameron,KC,17.5,-133,+100,34604097,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Eury Perez,MIA,15.5,-136,+103,34604097,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Dean Kremer,MIN,15.5,-114,-116,34604098,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Drew Anderson,DET,15.5,+120,-160,34604098,2026-09-02T23:40:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Hayden Wesneski,HOU,15.5,+106,-140,34604099,2026-09-03T00:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Davis Martin,CWS,13.5,-113,-117,34604099,2026-09-03T00:10:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Cam Schlittler,NYY,17.5,-186,+139,34604100,2026-09-03T01:38:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Reid Detmers,LAA,17.5,-119,-112,34604100,2026-09-03T01:38:00.0000000Z
2026-09-02T16:16:27.511313+00:00,2026-09-02,Yoshinobu Yamamoto,LAD,18.5,-111,-120,34604101,2026-09-03T02:10:00.0000000Z
