captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-08-26T13:01:19.778277+00:00,2026-08-26,Freddy Peralta,4.5,+105,-134,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Troy Melton,4.5,+125,-160,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Eduardo Rodriguez,4.5,+119,-152,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Matthew Boyd,3.5,-129,+101,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Landen Roupp,5.5,-124,-103,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Nick Lodolo,4.5,-118,-108,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Joey Cantillo,6.5,-129,+101,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Grayson Rodriguez,4.5,+124,-158,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Bubba Chandler,4.5,+115,-147,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Randy Vasquez,3.5,-114,-111,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Jesus Luzardo,7.5,+109,-139,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Bryan Woo,5.5,+105,-134,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Sonny Gray,5.5,-114,-112,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Ryan Gusto,3.5,-154,+121,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Tanner Gordon,3.5,-149,+117,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Peter Lambert,5.5,+116,-148,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Randy Dobnak,2.5,-132,+104,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Dustin May,5.5,+118,-151,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Robert Stock,4.5,-101,-126,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Roki Sasaki,4.5,-141,+110,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,AJ Smith-Shawver,4.5,+124,-159,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,MacKenzie Gore,6.5,+113,-144,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Sean Burke,5.5,-152,+119,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Kyle Bradish,4.5,-108,-118,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Michael McGreevy,4.5,-106,-120,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,Connor Prielipp,5.5,-107,-119,live
2026-08-26T13:01:19.778277+00:00,2026-08-26,J.T. Ginn,4.5,+127,-162,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Freddy Peralta,4.5,-102,-125,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Troy Melton,3.5,-166,+130,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Eduardo Rodriguez,4.5,+128,-163,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Matthew Boyd,3.5,-129,+101,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Landen Roupp,5.5,-129,+101,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Nick Lodolo,4.5,-133,+104,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Joey Cantillo,6.5,-123,-104,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Grayson Rodriguez,4.5,+118,-151,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Bubba Chandler,4.5,+115,-147,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Randy Vasquez,3.5,-117,-109,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Jesus Luzardo,7.5,-103,-123,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Bryan Woo,5.5,+113,-145,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Sonny Gray,5.5,-123,-104,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Ryan Gusto,3.5,-149,+117,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Tanner Gordon,3.5,-119,-107,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Peter Lambert,5.5,+126,-161,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Randy Dobnak,2.5,-122,-105,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Dustin May,4.5,-132,+103,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Robert Stock,4.5,+102,-129,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Roki Sasaki,5.5,+120,-154,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,AJ Smith-Shawver,4.5,+130,-166,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,MacKenzie Gore,6.5,+113,-144,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Sean Burke,5.5,-158,+124,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Kyle Bradish,4.5,-113,-113,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Michael McGreevy,4.5,+103,-131,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,Connor Prielipp,5.5,-103,-124,live
2026-08-26T14:56:07.689026+00:00,2026-08-26,J.T. Ginn,4.5,+124,-158,live
