captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-09-11T16:16:05.350002+00:00,2026-09-11,Shota Imanaga,CHC,5.5,-155,+121,34649504,2026-09-11T18:20:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Wilber Dotel,PIT,1.5,-164,+128,34649504,2026-09-11T18:20:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Framber Valdez,DET,4.5,-136,+106,34649505,2026-09-11T22:40:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Mason Adams,COL,3.5,-169,+132,34649505,2026-09-11T22:40:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Cade Cavalli,WSH,6.5,-149,+116,34649506,2026-09-11T22:45:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Yusei Kikuchi,LAA,5.5,-101,-127,34649506,2026-09-11T22:45:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Nolan McLean,NYM,6.5,+112,-143,34649508,2026-09-11T23:05:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Carlos Rodon,NYY,5.5,+101,-129,34649508,2026-09-11T23:05:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Max Scherzer,TOR,5.5,+115,-147,34649522,2026-09-11T23:07:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Chris Bassitt,BAL,3.5,+105,-134,34649522,2026-09-11T23:07:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Sonny Gray,BOS,5.5,+126,-160,34649523,2026-09-11T23:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Seth Lugo,KC,3.5,-170,+133,34649523,2026-09-11T23:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Drew Rasmussen,TB,5.5,-116,-110,34649525,2026-09-11T23:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Blake Snell,LAD,7.5,+105,-134,34649527,2026-09-11T23:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Ryan Gusto,MIA,3.5,-116,-109,34649527,2026-09-11T23:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Chris Sale,ATL,7.5,+107,-136,34649548,2026-09-11T23:15:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Aaron Nola,PHI,5.5,-111,-114,34649548,2026-09-11T23:15:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Dustin May,MIL,5.5,-123,-104,34649534,2026-09-11T23:45:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Andrew Abbott,CIN,3.5,-142,+111,34649534,2026-09-11T23:45:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Parker Messick,CLE,5.5,+107,-137,34649535,2026-09-12T00:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Taj Bradley,MIN,5.5,+119,-152,34649535,2026-09-12T00:10:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Matthew Liberatore,STL,5.5,-105,-122,34649536,2026-09-12T00:15:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Anthony Kay,CWS,4.5,+133,-170,34649536,2026-09-12T00:15:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,George Kirby,SEA,4.5,-136,+107,34649537,2026-09-12T01:40:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Jeffrey Springs,OAK,3.5,-169,+132,34649537,2026-09-12T01:40:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,MacKenzie Gore,TEX,4.5,-126,-101,34649538,2026-09-12T01:40:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Robbie Ray,SD,4.5,-102,-124,34649547,2026-09-12T02:15:00.0000000Z
2026-09-11T16:16:05.350002+00:00,2026-09-11,Anthony Molina,SF,3.5,-123,-103,34649547,2026-09-12T02:15:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Framber Valdez,DET,4.5,-132,+103,34649505,2026-09-11T22:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Mason Adams,COL,3.5,-146,+114,34649505,2026-09-11T22:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Cade Cavalli,WSH,7.5,+121,-155,34649506,2026-09-11T22:45:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Yusei Kikuchi,LAA,5.5,-104,-122,34649506,2026-09-11T22:45:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Nolan McLean,NYM,6.5,+105,-134,34649508,2026-09-11T23:05:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Carlos Rodon,NYY,5.5,+101,-129,34649508,2026-09-11T23:05:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Max Scherzer,TOR,5.5,+117,-150,34649522,2026-09-11T23:07:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Chris Bassitt,BAL,3.5,+101,-129,34649522,2026-09-11T23:07:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Sonny Gray,BOS,4.5,-142,+112,34649523,2026-09-11T23:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Seth Lugo,KC,3.5,-134,+105,34649523,2026-09-11T23:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Drew Rasmussen,TB,5.5,-112,-114,34649525,2026-09-11T23:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Blake Snell,LAD,7.5,+105,-134,34649527,2026-09-11T23:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Ryan Gusto,MIA,3.5,-122,-104,34649527,2026-09-11T23:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Chris Sale,ATL,7.5,+117,-149,34649548,2026-09-11T23:15:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Aaron Nola,PHI,5.5,-111,-114,34649548,2026-09-11T23:15:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Dustin May,MIL,5.5,-123,-104,34649534,2026-09-11T23:45:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Andrew Abbott,CIN,3.5,-142,+111,34649534,2026-09-11T23:45:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Parker Messick,CLE,5.5,+117,-150,34649535,2026-09-12T00:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Taj Bradley,MIN,5.5,+119,-152,34649535,2026-09-12T00:10:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Matthew Liberatore,STL,5.5,-105,-122,34649536,2026-09-12T00:15:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Anthony Kay,CWS,4.5,+127,-162,34649536,2026-09-12T00:15:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,George Kirby,SEA,4.5,-120,-106,34649537,2026-09-12T01:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Jeffrey Springs,OAK,3.5,-163,+128,34649537,2026-09-12T01:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,MacKenzie Gore,TEX,4.5,-103,-124,34649538,2026-09-12T01:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Merrill Kelly,ARI,4.5,+132,-169,34649538,2026-09-12T01:40:00.0000000Z
2026-09-11T19:01:08.333861+00:00,2026-09-11,Robbie Ray,SD,4.5,-101,-126,34649547,2026-09-12T02:15:00.0000000Z
