captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-17T16:16:02.812748+00:00,2026-08-17,Quinn Mathews,STL,14.5,-115,-115,34529783,2026-08-17T17:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Brandon Young,BAL,17.5,-112,-119,34529784,2026-08-17T22:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Shane McClanahan,TB,12.5,-110,-120,34529784,2026-08-17T22:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Cristopher Sanchez,PHI,18.5,+111,-147,34529786,2026-08-17T22:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Janson Junk,MIA,14.5,-190,+142,34529786,2026-08-17T22:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Framber Valdez,DET,17.5,-139,+105,34529787,2026-08-17T23:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Carmen Mlodzinski,PIT,12.5,+117,-156,34529787,2026-08-17T23:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Mitch Bratt,ARI,14.5,-148,+111,34529788,2026-08-17T23:10:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Nolan McLean,NYM,17.5,-141,+106,34529789,2026-08-17T23:10:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Walker Buehler,SD,15.5,+125,-167,34529789,2026-08-17T23:10:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Michael Wacha,KC,18.5,+113,-151,34529790,2026-08-17T23:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Mason Barnett,OAK,14.5,+102,-135,34529790,2026-08-17T23:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Bailey Ober,MIN,17.5,+102,-135,34529791,2026-08-17T23:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Martin Perez,ATL,15.5,+126,-167,34529791,2026-08-17T23:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Shota Imanaga,CHC,17.5,-168,+126,34529792,2026-08-18T00:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Luis Castillo,CWS,16.5,-119,-111,34529792,2026-08-18T00:05:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Blake Snell,LAD,17.5,-105,-126,34529793,2026-08-18T00:40:00.0000000Z
2026-08-17T16:16:02.812748+00:00,2026-08-17,Tomoyuki Sugano,COL,15.5,+119,-158,34529793,2026-08-18T00:40:00.0000000Z
2026-08-17T16:31:45.990375+00:00,2026-08-17,Quinn Mathews,STL,14.5,-115,-115,34529783,2026-08-17T17:40:00.0000000Z
2026-08-17T16:31:45.990375+00:00,2026-08-17,Brandon Young,BAL,17.5,-112,-119,34529784,2026-08-17T22:05:00.0000000Z
