captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-09-10T16:16:08.147072+00:00,2026-09-10,Nick Martinez,TB,17.5,-103,-129,34643928,2026-09-10T16:17:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Martin Perez,ATL,15.5,+100,-133,34643928,2026-09-10T16:17:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Zack Wheeler,PHI,17.5,-157,+118,34643929,2026-09-10T17:05:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Cristian Javier,HOU,14.5,-107,-124,34643929,2026-09-10T17:05:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Logan Gilbert,SEA,17.5,-150,+113,34643930,2026-09-10T20:10:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Jacob deGrom,TEX,16.5,-117,-114,34643930,2026-09-10T20:10:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Max Fried,NYY,16.5,-131,-101,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Ryan Feltner,COL,15.5,+111,-148,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Jared Jones,PIT,15.5,+113,-151,34643933,2026-09-10T23:40:00.0000000Z
2026-09-10T16:16:08.147072+00:00,2026-09-10,Hagen Smith,CWS,5.5,-219,+161,34643933,2026-09-10T23:40:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Logan Gilbert,SEA,17.5,-168,+126,34643930,2026-09-10T20:10:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Jacob deGrom,TEX,16.5,-113,-118,34643930,2026-09-10T20:10:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Max Fried,NYY,16.5,-131,-101,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Ryan Feltner,COL,15.5,+116,-154,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Jared Jones,PIT,15.5,+110,-146,34643933,2026-09-10T23:40:00.0000000Z
2026-09-10T19:01:38.182611+00:00,2026-09-10,Hagen Smith,CWS,5.5,-219,+161,34643933,2026-09-10T23:40:00.0000000Z
2026-09-10T22:16:38.051325+00:00,2026-09-10,Max Fried,NYY,16.5,-126,-105,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T22:16:38.051325+00:00,2026-09-10,Ryan Feltner,COL,15.5,+110,-146,34643931,2026-09-10T23:05:00.0000000Z
2026-09-10T22:16:38.051325+00:00,2026-09-10,Jared Jones,PIT,15.5,+110,-146,34643933,2026-09-10T23:40:00.0000000Z
2026-09-10T22:16:38.051325+00:00,2026-09-10,Hagen Smith,CWS,6.5,+120,-160,34643933,2026-09-10T23:40:00.0000000Z
