date,game_pk,pitcher_id,pitcher_name,pitcher_team,opponent_team,is_home,line,over_odds,under_odds,odds_source,expected_outs,p_over_raw,p_over_cal,fair_over,hold_pct,actual_outs,over_hit,logged_at
2026-08-25,824556,594798,Jacob deGrom,TEX,CWS,0,16.5,-128,-104,live,15.52,0.4297,0.4297,0.5241,0.0712,11,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823585,690986,Kyle Harrison,MIL,NYM,0,15.5,+158,-213,live,14.6,0.3748,0.3748,0.3629,0.0681,15,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823016,669461,Matthew Liberatore,STL,BAL,1,16.5,-131,-101,live,15.86,0.4682,0.4682,0.5302,0.0696,12,0,2026-08-27T01:05:44.296995+00:00
2026-08-25,822773,453286,Max Scherzer,TOR,KC,1,15.5,+122,-163,live,14.91,0.415,0.415,0.4209,0.0702,15,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823259,650633,Michael King,SD,PIT,1,17.5,-135,+101,live,17.15,0.5608,0.5608,0.5359,0.072,21,1,2026-08-27T01:01:37.424293+00:00
2026-08-25,823259,694973,Paul Skenes,PIT,SD,0,15.5,-126,-105,live,15.98,0.5426,0.5426,0.5212,0.0697,18,1,2026-08-27T01:01:37.424293+00:00
2026-08-25,823826,801139,Payton Tolle,BOS,MIA,0,17.5,-158,+119,live,16.5,0.4917,0.4917,0.5729,0.069,16,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,822773,607625,Seth Lugo,KC,TOR,0,17.5,-146,+110,live,16.43,0.4748,0.4748,0.5548,0.0697,15,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,824962,671737,Taj Bradley,MIN,ATH,0,17.5,-121,-110,live,16.64,0.5006,0.5006,0.5111,0.0713,20,1,2026-08-27T01:01:37.424293+00:00
2026-08-25,824881,607192,Tyler Glasnow,LAD,ATL,0,15.5,+100,-133,live,14.61,0.3832,0.3832,0.4669,0.0708,15,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823826,663969,Tyler Phillips,MIA,BOS,1,14.5,-155,+116,live,14.37,0.6007,0.6007,0.5677,0.0708,14,0,2026-08-27T01:05:44.296995+00:00
2026-08-25,823989,700712,Walbert Urena,LAA,CLE,1,15.5,-116,-114,live,15.92,0.5441,0.5441,0.502,0.0697,11,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823505,701542,Will Warren,NYY,HOU,1,15.5,-106,-125,live,15.96,0.5466,0.5466,0.4808,0.0701,15,0,2026-08-27T01:01:37.424293+00:00
2026-08-25,823585,804267,Zac Thornton,NYM,MIL,1,15.5,-115,-116,live,16.04,0.5532,0.5532,0.499,0.0719,18,1,2026-08-27T01:01:37.424293+00:00
2026-08-26,824878,700363,AJ Smith-Shawver,ATL,LAD,1,14.5,-115,-116,live,14.03,0.5583,0.5583,0.499,0.0719,15,1,2026-08-27T01:18:49.078476+00:00
2026-08-26,823096,693433,Bryan Woo,SEA,PHI,1,17.5,-119,-111,live,16.56,0.4879,0.4879,0.5081,0.0694,12,0,2026-08-27T01:01:37.621431+00:00
2026-08-26,823255,696149,Bubba Chandler,PIT,SD,0,15.5,+116,-155,live,15.52,0.4918,0.4918,0.4323,0.0708,17,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,824963,687570,Connor Prielipp,MIN,ATH,0,16.5,-110,-120,live,15.58,0.4337,0.4337,0.4899,0.0693,16,0,2026-08-27T02:45:00.274753+00:00
2026-08-26,823584,669160,Dustin May,MIL,NYM,0,15.5,-104,-127,live,15.24,0.4646,0.4646,0.4768,0.0693,1,0,2026-08-27T01:18:49.078476+00:00
2026-08-26,825039,593958,Eduardo Rodriguez,AZ,CHC,1,17.5,-166,+125,live,17.98,0.6564,0.6564,0.5841,0.0685,21,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,823506,695684,Elmer Rodriguez,NYY,HOU,1,14.5,-123,-107,live,13.41,0.4816,0.4816,0.5162,0.0685,18,1,2026-08-27T01:18:49.078476+00:00
2026-08-26,824234,642547,Freddy Peralta,TB,DET,0,16.5,-105,-126,live,15.69,0.4502,0.4502,0.4788,0.0697,18,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,823988,680570,Grayson Rodriguez,LAA,CLE,1,16.5,-109,-121,live,16.19,0.5008,0.5008,0.4878,0.069,17,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,824963,669372,J.T. Ginn,ATH,MIN,1,16.5,-102,-130,live,16.59,0.5605,0.5605,0.4718,0.0702,18,1,2026-08-27T02:55:08.675272+00:00
2026-08-26,823096,666200,Jesus Luzardo,PHI,SEA,0,18.5,+152,-204,live,17.71,0.3528,0.3528,0.3716,0.0679,21,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,823988,676282,Joey Cantillo,CLE,LAA,0,15.5,+108,-143,live,14.4,0.3501,0.3501,0.4496,0.0692,18,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,823015,680694,Kyle Bradish,BAL,STL,0,17.5,+101,-134,live,16.23,0.4458,0.4458,0.4649,0.0702,13,0,2026-08-27T01:34:01.731638+00:00
2026-08-26,824555,669022,MacKenzie Gore,TEX,CWS,0,17.5,-117,-113,live,16.61,0.498,0.498,0.504,0.0697,11,0,2026-08-27T01:28:57.618785+00:00
2026-08-26,825039,571510,Matthew Boyd,CHC,AZ,0,17.5,-122,-108,live,16.63,0.5016,0.5016,0.5142,0.0688,18,1,2026-08-27T01:01:37.621431+00:00
2026-08-26,823015,700241,Michael McGreevy,STL,BAL,1,15.5,-135,+102,live,16.58,0.6209,0.6209,0.5371,0.0695,15,0,2026-08-27T01:39:05.560897+00:00
2026-08-26,823180,666157,Nick Lodolo,CIN,SF,0,15.5,-133,+100,live,15.11,0.4439,0.4439,0.5331,0.0708,12,0,2026-08-27T01:01:37.621431+00:00
2026-08-26,823506,663567,Peter Lambert,HOU,NYY,0,15.5,-128,-103,live,16.23,0.5701,0.5701,0.5253,0.0688,17,1,2026-08-27T01:18:49.078476+00:00
2026-08-26,822772,677976,Randy Dobnak,KC,TOR,0,15.5,-131,-101,live,16.01,0.5446,0.5446,0.5302,0.0696,18,1,2026-08-27T01:18:49.078476+00:00
2026-08-26,823255,681190,Randy Vasquez,SD,PIT,1,15.5,+158,-213,live,14.47,0.3586,0.3586,0.3629,0.0681,15,0,2026-08-27T01:01:37.621431+00:00
