run_at,n_starts,n_dates,over_rate,brier_raw,brier_served,brier_blend,brier_market,z_raw_vs_market,z_blend_vs_market
2026-08-24T16:29:44.829200+00:00,447,19,0.434,0.26309,0.26309,0.25512,0.25097,2.892,2.008
2026-08-30T08:30:56.113549+00:00,561,24,0.4439,0.26162,0.26162,0.2534,0.24877,3.551,2.59
2026-08-30T11:34:27.208797+00:00,586,25,0.4471,0.26237,0.26237,0.25393,0.24903,3.795,2.824
2026-09-06T08:31:15.410414+00:00,754,32,0.4668,0.26474,0.26474,0.25536,0.24955,4.866,3.779
2026-09-06T10:35:43.951639+00:00,754,32,0.4668,0.26474,0.26474,0.25536,0.24955,4.866,3.779
2026-09-13T08:31:20.707363+00:00,887,38,0.4679,0.26185,0.26185,0.25312,0.24804,4.816,3.575
2026-09-13T11:22:50.091101+00:00,911,39,0.4676,0.26163,0.26163,0.25292,0.24788,4.865,3.59
