date,game_pk,umpire_id,umpire_name
2026-04-05,824131,504381,Will Little
2026-04-05,824296,427533,Mark Wegner
2026-04-05,824379,427164,Andy Fletcher
2026-04-05,824459,483564,Dan Bellino
2026-04-05,824460,483919,Mark Ripperger
2026-04-05,824620,490319,Jordan Baker
2026-04-05,824781,427113,Laz Diaz
2026-04-05,825025,544728,Nic Lentz
2026-04-05,825102,483561,Lance Barrett
2026-04-06,822755,665297,Tom Hanahan
2026-04-06,822832,575629,Shane Livensparger
2026-04-06,822918,623945,Alex MacKay
2026-04-06,823002,665281,Brian Walsh
2026-04-06,823237,503077,Adam Hamari
2026-04-06,823401,503586,Tripp Gibson
2026-04-06,823728,427128,Rob Drake
2026-04-06,823886,596805,John Libka
2026-04-06,824052,427537,Hunter Wendelstedt
2026-04-06,824376,598411,Nestor Ceja
2026-04-06,824456,644760,Adam Beck
2026-04-06,824619,623946,Malachi Moore
2026-04-06,824783,482620,Chris Conroy
2026-04-07,822754,658292,Derek Thomas
2026-04-07,822831,605670,Dan Merzel
2026-04-07,822916,484198,Alan Porter
2026-04-07,822999,431232,Chad Fairchild
2026-04-07,823235,623949,Clint Vondrak
2026-04-07,823402,503502,Ryan Blakney
2026-04-07,823567,427129,Bruce Dreckman
2026-04-07,823648,427366,Brian O'Nora
2026-04-07,823727,511890,Quinn Wolcott
2026-04-07,823887,428442,James Hoye
2026-04-07,824051,554242,Edwin Moscoso
2026-04-07,824375,605671,Charlie Ramos
2026-04-07,824457,521251,Ben May
2026-04-07,824618,482631,Mike Estabrook
2026-04-07,824780,483630,John Tumpane
2026-04-08,822753,482608,Scott Barry
2026-04-08,822833,483564,Dan Bellino
2026-04-08,822915,665576,Brock Ballou
2026-04-08,823000,489985,Chad Whitson
2026-04-08,823234,429805,Todd Tichenor
2026-04-08,823403,521051,Nick Mahrley
2026-04-08,823564,547380,Carlos Torres
2026-04-08,823646,503490,Chris Segal
2026-04-08,823726,676580,Steven Jaschinski
2026-04-08,823885,482666,D.J. Reyburn
2026-04-08,824050,483569,Vic Carapazza
2026-04-08,824374,482663,David Rackley
2026-04-08,824455,427248,Dan Iassogna
2026-04-08,824617,691042,Willie Traynor
2026-04-08,824779,639723,Brennan Miller
2026-04-09,823319,544728,Nic Lentz
2026-04-09,823565,608158,Nate Tomlinson
2026-04-09,823645,623938,Erich Bacchus
2026-04-09,823724,482641,Adrian Johnson
2026-04-09,823884,503493,Sean Barber
2026-04-09,824130,427243,Marvin Hudson
2026-04-10,822829,484499,Manny Gonzalez
2026-04-10,822997,483919,Mark Ripperger
2026-04-10,823076,427344,Bill Miller
2026-04-10,823156,658536,Austin Jones
2026-04-10,823318,427537,Hunter Wendelstedt
2026-04-10,823482,511890,Quinn Wolcott
2026-04-10,823643,596805,John Libka
2026-04-10,823808,427533,Mark Wegner
2026-04-10,823968,427197,Chris Guccione
2026-04-10,824128,503586,Tripp Gibson
2026-04-10,824297,483561,Lance Barrett
2026-04-10,824534,676581,James Jean
2026-04-10,824695,577468,Roberto Ortiz
2026-04-10,824858,427113,Laz Diaz
2026-04-10,824941,665298,Dexter Kelley
2026-04-11,822830,665297,Tom Hanahan
2026-04-11,822996,575629,Shane Livensparger
2026-04-11,823074,665281,Brian Walsh
2026-04-11,823155,503077,Adam Hamari
2026-04-11,823316,554242,Edwin Moscoso
2026-04-11,823480,665576,Brock Ballou
2026-04-11,823644,428442,James Hoye
2026-04-11,823805,427129,Bruce Dreckman
2026-04-11,823967,598411,Nestor Ceja
2026-04-11,824129,503502,Ryan Blakney
2026-04-11,824294,623946,Malachi Moore
2026-04-11,824535,644760,Adam Beck
2026-04-11,824697,623945,Alex MacKay
2026-04-11,824857,427366,Brian O'Nora
2026-04-11,824939,482620,Chris Conroy
2026-04-12,822828,658292,Derek Thomas
2026-04-12,822998,483564,Dan Bellino
2026-04-12,823075,431232,Chad Fairchild
2026-04-12,823154,623949,Clint Vondrak
2026-04-12,823317,483569,Vic Carapazza
2026-04-12,823479,605670,Dan Merzel
2026-04-12,823642,482666,D.J. Reyburn
2026-04-12,823804,547380,Carlos Torres
2026-04-12,823966,605671,Charlie Ramos
2026-04-12,824126,521051,Nick Mahrley
2026-04-12,824293,482631,Mike Estabrook
2026-04-12,824533,521251,Ben May
2026-04-12,824696,484198,Alan Porter
2026-04-12,824859,503490,Chris Segal
2026-04-12,824938,483630,John Tumpane
2026-04-13,823073,427554,Jim Wolf
2026-04-13,823153,429805,Todd Tichenor
2026-04-13,823400,503493,Sean Barber
2026-04-13,823481,608158,Nate Tomlinson
2026-04-13,823563,596809,Ryan Additon
2026-04-13,823725,691042,Willie Traynor
2026-04-13,823964,544728,Nic Lentz
2026-04-13,824856,639723,Brennan Miller
2026-04-13,824937,427248,Dan Iassogna
2026-04-13,825024,483912,Mike Muchlinski
2026-04-14,823072,577468,Roberto Ortiz
2026-04-14,823315,489985,Chad Whitson
2026-04-14,823398,596805,John Libka
2026-04-14,823478,427533,Mark Wegner
2026-04-14,823562,605674,Ryan Wills
2026-04-14,823723,483561,Lance Barrett
2026-04-14,823802,482663,David Rackley
2026-04-14,823965,427537,Hunter Wendelstedt
2026-04-14,824210,427128,Rob Drake
2026-04-14,824292,484183,Cory Blaser
2026-04-14,824531,607884,Paul Clemons
2026-04-14,824616,605673,Alex Tosi
2026-04-14,824853,482620,Chris Conroy
2026-04-14,824935,676581,James Jean
2026-04-14,825022,573597,Gabe Morales
2026-04-15,823071,623945,Alex MacKay
2026-04-15,823314,427344,Bill Miller
2026-04-15,823399,428442,James Hoye
2026-04-15,823477,427129,Bruce Dreckman
2026-04-15,823561,427013,Lance Barksdale
2026-04-15,823722,623946,Malachi Moore
2026-04-15,823803,427197,Chris Guccione
2026-04-15,823963,554242,Edwin Moscoso
2026-04-15,824209,521889,Stu Scheurwater
2026-04-15,824291,596740,Jansen Visconti
2026-04-15,824532,511890,Quinn Wolcott
2026-04-15,824615,503077,Adam Hamari
2026-04-15,824855,483630,John Tumpane
